Date,Ticker,Sector,Open,High,Low,Close,Volume,Market_Cap_B,PE_Ratio,Dividend_Yield,Beta
2022-01-03,AAPL,Technology,151.23,153.25,150.12,151.46,3608085.617281983,274.26,22.82,2.026,1.14
2022-01-04,AAPL,Technology,151.81,152.38,149.39,151.21,9939615.041172303,184.0,19.88,0.0,1.28
2022-01-05,AAPL,Technology,152.36,154.85,151.76,153.09,5318924.781684605,210.07,32.79,2.354,1.17
2022-01-06,AAPL,Technology,157.67,159.72,155.15,157.41,1470766.193703165,368.82,10.4,0.896,2.01
2022-01-07,AAPL,Technology,157.6,159.03,155.31,156.87,3023554.914226442,454.84,27.05,1.827,1.47
2022-01-10,AAPL,Technology,156.43,158.22,155.06,156.34,1860811.914101672,109.44,29.23,2.643,0.95
2022-01-11,AAPL,Technology,161.61,162.09,159.78,160.9,2492034.6381050483,174.02,19.28,0.599,1.1
2022-01-12,AAPL,Technology,162.52,163.53,163.01,163.26,2447234.1686332873,106.66,30.86,2.503,1.68
2022-01-13,AAPL,Technology,161.88,163.74,160.9,162.01,2339968.6555432836,474.09,6.53,2.336,1.26
2022-01-14,AAPL,Technology,163.33,164.77,162.64,163.72,1357839.2936290174,366.88,22.13,0.123,1.4
2022-01-17,AAPL,Technology,162.86,163.85,160.68,162.48,2989574.7851737505,383.3,15.47,2.841,0.35
2022-01-18,AAPL,Technology,162.03,161.75,160.91,161.25,2207949.1455493425,184.92,20.81,2.255,0.96
2022-01-19,AAPL,Technology,161.69,162.55,161.5,162.08,420578.2869793475,321.59,10.12,3.49,0.7
2022-01-20,AAPL,Technology,156.87,158.59,154.74,156.63,13757303.671352966,398.92,26.6,1.893,0.78
2022-01-21,AAPL,Technology,151.43,153.13,150.78,151.89,7005028.161546576,205.49,24.61,3.445,0.6
2022-01-24,AAPL,Technology,150.58,151.65,148.82,150.48,2511999.211187601,314.81,20.55,1.305,0.87
2022-01-25,AAPL,Technology,147.8,149.03,146.93,147.85,3312366.1298123887,416.06,38.98,1.548,-0.05
2022-01-26,AAPL,Technology,149.51,150.15,147.64,148.81,1439551.2008210337,200.78,22.67,0.326,1.5
2022-01-27,AAPL,Technology,146.65,148.11,145.02,146.5,10713401.736707404,164.77,13.39,0.925,1.46
2022-01-28,AAPL,Technology,142.67,143.43,142.01,142.89,12336859.9917293,243.94,34.21,2.445,1.02
2022-01-31,AAPL,Technology,146.21,147.55,145.89,146.77,3647985.3335964503,84.07,24.42,1.743,1.86
2022-02-01,AAPL,Technology,145.78,147.06,145.41,146.29,6692321.958799869,418.57,5.91,1.624,0.51
2022-02-02,AAPL,Technology,146.19,147.69,145.91,146.59,3695774.6747218044,247.27,28.03,0.814,1.17
2022-02-03,AAPL,Technology,142.59,143.69,142.17,142.95,1282461.9574586612,141.29,23.95,1.737,0.79
2022-02-04,AAPL,Technology,142.16,142.95,140.7,141.66,2450306.4142106585,91.05,24.84,3.919,1.49
2022-02-07,AAPL,Technology,142.14,142.72,141.42,142.06,3585288.7644664464,221.15,35.91,0.74,0.71
2022-02-08,AAPL,Technology,139.26,140.72,137.16,139.23,2378109.962800267,252.17,31.45,2.271,0.95
2022-02-09,AAPL,Technology,139.74,141.0,139.78,140.28,2805080.2489905055,191.36,20.53,1.009,1.74
2022-02-10,AAPL,Technology,139.38,139.96,137.66,138.88,3066416.9164406317,353.36,28.05,1.604,1.99
